Robot Pose Points (X, Y):
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
0.000000, -0.000000
0.000000, -0.000000
0.006000, -0.000000
0.006000, -0.000000
0.006000, -0.000000
0.041000, -0.000000
0.041000, -0.000000
0.082000, -0.000000
0.082000, -0.000000
0.082000, -0.000000
0.113000, -0.000000
0.113000, -0.000000
0.113000, -0.000000
0.078000, -0.000000
0.078000, -0.000000
0.194000, -0.001000
0.194000, -0.001000
0.171000, -0.001000
0.171000, -0.001000
0.171000, -0.001000
0.234000, -0.001000
0.234000, -0.001000
0.234000, -0.001000
0.303000, -0.001000
0.303000, -0.001000
0.385000, -0.002000
0.385000, -0.002000
0.385000, -0.002000
0.547000, -0.003000
0.547000, -0.003000
0.640000, -0.004000
0.640000, -0.004000
0.663000, -0.004000
0.663000, -0.004000
0.663000, -0.004000
0.663000, -0.004000
0.663000, -0.004000
0.762000, -0.005000
0.762000, -0.005000
0.762000, -0.005000
0.762000, -0.005000
0.937000, -0.007000
0.937000, -0.007000
0.937000, -0.007000
1.059000, -0.008000
1.059000, -0.008000
1.059000, -0.008000
1.059000, -0.008000
1.059000, -0.008000
1.233000, -0.010000
1.233000, -0.010000
1.255000, -0.011000
1.255000, -0.011000
1.255000, -0.011000
1.255000, -0.011000
1.454000, -0.013000
1.454000, -0.013000
1.454000, -0.013000
1.454000, -0.013000
1.529000, -0.013000
1.529000, -0.013000
1.529000, -0.013000
1.627000, -0.014000
1.627000, -0.014000
1.627000, -0.014000
1.726000, -0.015000
1.726000, -0.015000
1.726000, -0.015000
1.850000, -0.017000
1.850000, -0.017000
1.850000, -0.017000
1.850000, -0.017000
1.925000, -0.017000
1.925000, -0.017000
1.925000, -0.017000
2.025000, -0.018000
2.025000, -0.018000
2.025000, -0.018000
2.050000, -0.019000
2.050000, -0.019000
2.050000, -0.019000
2.225000, -0.020000
2.225000, -0.020000
2.350000, -0.021000
2.350000, -0.021000
2.350000, -0.021000
2.350000, -0.021000
2.350000, -0.021000
2.425000, -0.022000
2.425000, -0.022000
2.425000, -0.022000
2.450000, -0.022000
2.450000, -0.022000
2.450000, -0.022000
2.450000, -0.022000
2.450000, -0.022000
2.550000, -0.023000
2.550000, -0.023000
2.550000, -0.023000
2.550000, -0.023000
2.725000, -0.024000
2.725000, -0.024000
2.725000, -0.024000
2.825000, -0.025000
2.825000, -0.025000
2.825000, -0.025000
2.925000, -0.025000
2.925000, -0.025000
3.025000, -0.026000
3.025000, -0.026000
3.025000, -0.026000
3.050000, -0.026000
3.050000, -0.026000
3.050000, -0.026000
3.050000, -0.026000
3.225000, -0.027000
3.225000, -0.027000
3.225000, -0.027000
3.250000, -0.027000
3.250000, -0.027000
3.250000, -0.027000
3.350000, -0.027000
3.350000, -0.027000
3.525000, -0.028000
3.525000, -0.028000
3.525000, -0.028000
3.550000, -0.028000
3.550000, -0.028000
3.550000, -0.028000
3.550000, -0.028000
3.725000, -0.029000
3.725000, -0.029000
3.830000, -0.029000
3.830000, -0.029000
3.938000, -0.029000
3.938000, -0.029000
3.938000, -0.029000
3.938000, -0.029000
3.938000, -0.029000
3.948000, -0.029000
3.948000, -0.029000
4.045000, -0.029000
4.045000, -0.029000
4.045000, -0.029000
4.045000, -0.029000
4.217000, -0.029000
4.217000, -0.029000
4.217000, -0.029000
4.240000, -0.030000
4.240000, -0.030000
4.337000, -0.030000
4.337000, -0.030000
4.500000, -0.030000
4.500000, -0.030000
4.606000, -0.030000
4.606000, -0.030000
4.606000, -0.030000
4.606000, -0.030000
4.702000, -0.030000
4.823000, -0.030000
4.823000, -0.030000
4.823000, -0.030000
4.823000, -0.030000
4.823000, -0.030000
4.819000, -0.030000
4.819000, -0.030000
4.819000, -0.030000
4.991000, -0.030000
4.991000, -0.030000
5.014000, -0.030000
5.014000, -0.030000
5.014000, -0.030000
5.111000, -0.030000
5.111000, -0.030000
5.111000, -0.030000
5.284000, -0.029000
5.284000, -0.029000
5.306000, -0.029000
5.306000, -0.029000
5.306000, -0.029000
5.504000, -0.029000
5.504000, -0.029000
5.504000, -0.029000
5.503000, -0.029000
5.503000, -0.029000
5.503000, -0.029000
5.677000, -0.029000
5.677000, -0.029000
5.776000, -0.029000
5.776000, -0.029000
5.800000, -0.029000
5.800000, -0.029000
5.800000, -0.029000
5.975000, -0.028000
5.975000, -0.028000
5.975000, -0.028000
6.000000, -0.028000
6.000000, -0.028000
6.000000, -0.028000
6.000000, -0.028000
6.100000, -0.028000
6.100000, -0.028000
6.300000, -0.028000
6.300000, -0.028000
6.300000, -0.028000
6.300000, -0.028000
6.300000, -0.028000
6.400000, -0.028000
6.400000, -0.028000
6.400000, -0.028000
6.475000, -0.028000
6.475000, -0.028000
6.575000, -0.028000
6.575000, -0.028000
6.600000, -0.027000
6.600000, -0.027000
6.700000, -0.027000
6.700000, -0.027000
6.700000, -0.027000
6.700000, -0.027000
6.800000, -0.027000
6.800000, -0.027000
6.800000, -0.027000
6.975000, -0.027000
6.975000, -0.027000
7.000000, -0.027000
7.000000, -0.027000
7.200000, -0.027000
7.200000, -0.027000
7.200000, -0.027000
7.199000, -0.027000
7.199000, -0.027000
7.199000, -0.027000
7.199000, -0.027000
7.199000, -0.027000
7.373000, -0.026000
7.373000, -0.026000
7.373000, -0.026000
7.397000, -0.026000
7.397000, -0.026000
7.397000, -0.026000
7.397000, -0.026000
7.562000, -0.026000
7.562000, -0.026000
7.562000, -0.026000
7.594000, -0.026000
7.594000, -0.026000
7.594000, -0.026000
7.768000, -0.026000
7.768000, -0.026000
7.768000, -0.026000
7.867000, -0.026000
7.867000, -0.026000
7.867000, -0.026000
7.890000, -0.026000
7.890000, -0.026000
7.890000, -0.026000
7.890000, -0.026000
7.989000, -0.026000
7.989000, -0.026000
7.989000, -0.026000
7.989000, -0.026000
8.088000, -0.026000
8.088000, -0.026000
8.088000, -0.026000
8.187000, -0.026000
8.187000, -0.026000
8.187000, -0.026000
8.362000, -0.025000
8.362000, -0.025000
8.462000, -0.025000
8.462000, -0.025000
8.462000, -0.025000
8.487000, -0.025000
8.487000, -0.025000
8.487000, -0.025000
8.487000, -0.025000
8.660000, -0.025000
8.660000, -0.025000
8.759000, -0.025000
8.759000, -0.025000
8.858000, -0.025000
8.858000, -0.025000
8.957000, -0.025000
8.957000, -0.025000
8.957000, -0.025000
9.067000, -0.025000
9.067000, -0.025000
9.067000, -0.025000
