Robot Pose Points (X, Y):
-0.000000, -0.000000
-0.000000, -0.000000
-0.000000, -0.000000
-0.000000, -0.000000
-0.000000, -0.000000
-0.000000, -0.000000
0.000000, -0.000000
0.000000, -0.000000
0.062000, -0.000000
0.062000, -0.000000
0.021000, -0.000000
0.021000, -0.000000
0.021000, -0.000000
0.021000, -0.000000
0.042000, -0.000000
0.042000, -0.000000
0.042000, -0.000000
0.145000, -0.003000
0.145000, -0.003000
0.212000, -0.006000
0.212000, -0.006000
0.212000, -0.006000
0.212000, -0.006000
0.162000, -0.004000
0.162000, -0.004000
0.162000, -0.004000
0.295000, -0.011000
0.295000, -0.011000
0.295000, -0.011000
0.292000, -0.011000
0.292000, -0.011000
0.292000, -0.011000
0.292000, -0.011000
0.372000, -0.015000
0.372000, -0.015000
0.372000, -0.015000
0.372000, -0.015000
0.534000, -0.026000
0.534000, -0.026000
0.534000, -0.026000
0.629000, -0.032000
0.629000, -0.032000
0.629000, -0.032000
0.750000, -0.040000
0.750000, -0.040000
0.750000, -0.040000
0.749000, -0.039000
0.749000, -0.039000
0.749000, -0.039000
0.749000, -0.039000
0.749000, -0.039000
0.924000, -0.051000
0.924000, -0.051000
0.924000, -0.051000
0.948000, -0.052000
0.948000, -0.052000
0.948000, -0.052000
1.049000, -0.058000
1.049000, -0.058000
1.049000, -0.058000
1.149000, -0.064000
1.149000, -0.064000
1.248000, -0.068000
1.248000, -0.068000
1.248000, -0.068000
1.349000, -0.073000
1.349000, -0.073000
1.448000, -0.076000
1.448000, -0.076000
1.448000, -0.076000
1.448000, -0.076000
1.548000, -0.079000
1.548000, -0.079000
1.548000, -0.079000
1.548000, -0.079000
1.723000, -0.082000
1.723000, -0.082000
1.748000, -0.082000
1.748000, -0.082000
1.748000, -0.082000
1.748000, -0.082000
1.848000, -0.082000
1.848000, -0.082000
1.848000, -0.082000
2.023000, -0.080000
2.023000, -0.080000
2.023000, -0.080000
2.123000, -0.078000
2.123000, -0.078000
2.123000, -0.078000
2.148000, -0.077000
2.148000, -0.077000
2.323000, -0.070000
2.323000, -0.070000
2.348000, -0.069000
2.348000, -0.069000
2.447000, -0.064000
2.447000, -0.064000
2.447000, -0.064000
2.611000, -0.055000
2.611000, -0.055000
2.611000, -0.055000
2.642000, -0.053000
2.642000, -0.053000
2.642000, -0.053000
2.739000, -0.046000
2.739000, -0.046000
2.739000, -0.046000
2.739000, -0.046000
2.837000, -0.039000
2.837000, -0.039000
2.837000, -0.039000
2.837000, -0.039000
2.934000, -0.032000
2.934000, -0.032000
2.934000, -0.032000
2.934000, -0.032000
3.031000, -0.024000
3.031000, -0.024000
3.031000, -0.024000
3.031000, -0.024000
3.203000, -0.011000
3.203000, -0.011000
3.225000, -0.009000
3.225000, -0.009000
3.225000, -0.009000
3.225000, -0.009000
3.323000, -0.002000
3.323000, -0.002000
3.323000, -0.002000
3.323000, -0.002000
3.495000, 0.010000
3.495000, 0.010000
3.520000, 0.012000
3.520000, 0.012000
3.520000, 0.012000
3.695000, 0.022000
3.695000, 0.022000
3.719000, 0.024000
3.719000, 0.024000
3.719000, 0.024000
3.919000, 0.032000
3.919000, 0.032000
3.919000, 0.032000
3.919000, 0.032000
3.994000, 0.035000
3.994000, 0.035000
3.994000, 0.035000
4.019000, 0.036000
4.019000, 0.036000
4.019000, 0.036000
4.019000, 0.036000
4.194000, 0.039000
4.194000, 0.039000
4.194000, 0.039000
4.294000, 0.039000
4.294000, 0.039000
4.319000, 0.039000
4.319000, 0.039000
4.319000, 0.039000
4.485000, 0.038000
4.485000, 0.038000
4.517000, 0.037000
4.517000, 0.037000
4.517000, 0.037000
4.517000, 0.037000
4.682000, 0.032000
4.682000, 0.032000
4.713000, 0.031000
4.713000, 0.031000
4.885000, 0.023000
4.885000, 0.023000
4.885000, 0.023000
4.908000, 0.022000
4.908000, 0.022000
4.908000, 0.022000
4.908000, 0.022000
5.080000, 0.010000
5.080000, 0.010000
5.080000, 0.010000
5.102000, 0.009000
5.102000, 0.009000
5.200000, 0.001000
5.200000, 0.001000
5.200000, 0.001000
5.200000, 0.001000
5.297000, -0.006000
5.297000, -0.006000
5.297000, -0.006000
5.297000, -0.006000
5.394000, -0.015000
5.394000, -0.015000
5.394000, -0.015000
5.394000, -0.015000
5.493000, -0.023000
5.493000, -0.023000
5.493000, -0.023000
5.493000, -0.023000
5.592000, -0.032000
5.592000, -0.032000
5.592000, -0.032000
5.592000, -0.032000
5.592000, -0.032000
5.758000, -0.046000
5.758000, -0.046000
5.758000, -0.046000
5.791000, -0.049000
5.791000, -0.049000
5.791000, -0.049000
5.791000, -0.049000
5.791000, -0.049000
5.891000, -0.057000
5.891000, -0.057000
5.891000, -0.057000
5.990000, -0.065000
5.990000, -0.065000
5.990000, -0.065000
6.090000, -0.072000
6.090000, -0.072000
6.090000, -0.072000
6.090000, -0.072000
6.290000, -0.084000
6.290000, -0.084000
6.290000, -0.084000
6.290000, -0.084000
6.390000, -0.089000
6.390000, -0.089000
6.390000, -0.089000
6.465000, -0.092000
6.465000, -0.092000
6.565000, -0.095000
6.565000, -0.095000
6.590000, -0.096000
6.590000, -0.096000
6.590000, -0.096000
6.765000, -0.098000
6.765000, -0.098000
6.790000, -0.098000
6.790000, -0.098000
6.790000, -0.098000
6.890000, -0.098000
6.890000, -0.098000
6.890000, -0.098000
6.890000, -0.098000
7.065000, -0.095000
7.065000, -0.095000
7.090000, -0.094000
7.090000, -0.094000
7.090000, -0.094000
7.090000, -0.094000
7.090000, -0.094000
7.265000, -0.087000
7.265000, -0.087000
7.290000, -0.086000
7.290000, -0.086000
7.290000, -0.086000
7.290000, -0.086000
7.389000, -0.081000
7.389000, -0.081000
7.487000, -0.075000
7.487000, -0.075000
7.487000, -0.075000
7.487000, -0.075000
7.685000, -0.059000
7.685000, -0.059000
7.685000, -0.059000
7.685000, -0.059000
7.685000, -0.059000
7.684000, -0.060000
7.684000, -0.060000
7.684000, -0.060000
7.783000, -0.051000
7.783000, -0.051000
7.783000, -0.051000
7.956000, -0.035000
7.956000, -0.035000
7.979000, -0.033000
7.979000, -0.033000
7.979000, -0.033000
8.152000, -0.016000
8.152000, -0.016000
8.152000, -0.016000
8.176000, -0.014000
8.176000, -0.014000
8.274000, -0.004000
8.274000, -0.004000
8.373000, 0.005000
8.373000, 0.005000
8.373000, 0.005000
8.473000, 0.014000
8.473000, 0.014000
8.473000, 0.014000
8.572000, 0.023000
8.572000, 0.023000
